Status: Downloading, Progress: 0%, Peers: 5, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 5, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 5, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 5, Speed: 54K/s, ETA: 15m30s, Upload Speed 92K/s
Status: Downloading, Progress: 0%, Peers: 5, Speed: 54K/s, ETA: 15m30s, Upload Speed 92K/s
Status: Downloading, Progress: 0%, Peers: 5, Speed: 54K/s, ETA: 15m30s, Upload Speed 92K/s
Status: Downloading, Progress: 1%, Peers: 5, Speed: 54K/s, ETA: 15m30s, Upload Speed 92K/s
Status: Downloading, Progress: 1%, Peers: 5, Speed: 54K/s, ETA: 15m30s, Upload Speed 92K/s
Status: Downloading, Progress: 1%, Peers: 5, Speed: 55K/s, ETA: 15m0s, Upload Speed 93K/s
Status: Downloading, Progress: 1%, Peers: 6, Speed: 55K/s, ETA: 15m0s, Upload Speed 93K/s
Status: Downloading, Progress: 1%, Peers: 10, Speed: 55K/s, ETA: 15m0s, Upload Speed 93K/s
Status: Downloading, Progress: 1%, Peers: 10, Speed: 55K/s, ETA: 15m0s, Upload Speed 93K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 55K/s, ETA: 15m0s, Upload Speed 93K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 59K/s, ETA: 14m0s, Upload Speed 94K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 59K/s, ETA: 14m0s, Upload Speed 94K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 59K/s, ETA: 14m0s, Upload Speed 94K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 59K/s, ETA: 14m0s, Upload Speed 94K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 59K/s, ETA: 14m0s, Upload Speed 94K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 60K/s, ETA: 13m45s, Upload Speed 94K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 60K/s, ETA: 13m30s, Upload Speed 94K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 60K/s, ETA: 13m30s, Upload Speed 94K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 60K/s, ETA: 13m30s, Upload Speed 94K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 60K/s, ETA: 13m30s, Upload Speed 94K/s
Status: Downloading, Progress: 4%, Peers: 10, Speed: 64K/s, ETA: 12m45s, Upload Speed 94K/s
Status: Downloading, Progress: 4%, Peers: 10, Speed: 64K/s, ETA: 12m45s, Upload Speed 94K/s
Status: Downloading, Progress: 4%, Peers: 10, Speed: 64K/s, ETA: 12m45s, Upload Speed 94K/s
Status: Downloading, Progress: 4%, Peers: 10, Speed: 64K/s, ETA: 12m45s, Upload Speed 94K/s
Status: Downloading, Progress: 4%, Peers: 10, Speed: 64K/s, ETA: 12m45s, Upload Speed 94K/s
Status: Downloading, Progress: 5%, Peers: 10, Speed: 67K/s, ETA: 12m0s, Upload Speed 95K/s
Status: Downloading, Progress: 5%, Peers: 10, Speed: 67K/s, ETA: 12m0s, Upload Speed 95K/s
Status: Downloading, Progress: 5%, Peers: 10, Speed: 67K/s, ETA: 12m0s, Upload Speed 95K/s
Status: Downloading, Progress: 5%, Peers: 10, Speed: 67K/s, ETA: 11m45s, Upload Speed 95K/s
Status: Downloading, Progress: 5%, Peers: 10, Speed: 67K/s, ETA: 11m45s, Upload Speed 95K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 70K/s, ETA: 11m30s, Upload Speed 95K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 70K/s, ETA: 11m15s, Upload Speed 95K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 70K/s, ETA: 11m15s, Upload Speed 95K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 70K/s, ETA: 11m15s, Upload Speed 95K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 70K/s, ETA: 11m15s, Upload Speed 95K/s
Status: Downloading, Progress: 7%, Peers: 10, Speed: 72K/s, ETA: 11m0s, Upload Speed 96K/s
Status: Downloading, Progress: 7%, Peers: 10, Speed: 72K/s, ETA: 11m0s, Upload Speed 96K/s
Status: Downloading, Progress: 7%, Peers: 10, Speed: 72K/s, ETA: 10m45s, Upload Speed 96K/s
Status: Downloading, Progress: 7%, Peers: 10, Speed: 72K/s, ETA: 10m45s, Upload Speed 96K/s
Status: Downloading, Progress: 7%, Peers: 10, Speed: 72K/s, ETA: 10m45s, Upload Speed 96K/s
Status: Downloading, Progress: 7%, Peers: 10, Speed: 74K/s, ETA: 10m30s, Upload Speed 96K/s
Status: Downloading, Progress: 8%, Peers: 10, Speed: 74K/s, ETA: 10m30s, Upload Speed 96K/s
Status: Downloading, Progress: 8%, Peers: 10, Speed: 74K/s, ETA: 10m30s, Upload Speed 96K/s
Status: Downloading, Progress: 8%, Peers: 10, Speed: 74K/s, ETA: 10m30s, Upload Speed 96K/s
Status: Downloading, Progress: 8%, Peers: 10, Speed: 74K/s, ETA: 10m30s, Upload Speed 96K/s
Status: Downloading, Progress: 8%, Peers: 10, Speed: 75K/s, ETA: 10m15s, Upload Speed 96K/s
Status: Downloading, Progress: 8%, Peers: 10, Speed: 75K/s, ETA: 10m15s, Upload Speed 96K/s
Status: Downloading, Progress: 9%, Peers: 10, Speed: 75K/s, ETA: 10m15s, Upload Speed 96K/s
Status: Downloading, Progress: 9%, Peers: 10, Speed: 75K/s, ETA: 10m15s, Upload Speed 96K/s
Status: Downloading, Progress: 9%, Peers: 10, Speed: 75K/s, ETA: 10m15s, Upload Speed 96K/s
