Status: Downloading, Progress: 0%, Peers: 8, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 8, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 8, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 8, Speed: 70K/s, ETA: 12m0s, Upload Speed 92K/s
Status: Downloading, Progress: 0%, Peers: 8, Speed: 70K/s, ETA: 12m0s, Upload Speed 92K/s
Status: Downloading, Progress: 1%, Peers: 8, Speed: 70K/s, ETA: 12m0s, Upload Speed 92K/s
Status: Downloading, Progress: 1%, Peers: 8, Speed: 70K/s, ETA: 12m0s, Upload Speed 92K/s
Status: Downloading, Progress: 1%, Peers: 8, Speed: 70K/s, ETA: 12m0s, Upload Speed 92K/s
Status: Downloading, Progress: 1%, Peers: 8, Speed: 72K/s, ETA: 11m45s, Upload Speed 93K/s
Status: Downloading, Progress: 1%, Peers: 8, Speed: 72K/s, ETA: 11m30s, Upload Speed 93K/s
Status: Downloading, Progress: 1%, Peers: 10, Speed: 72K/s, ETA: 11m30s, Upload Speed 93K/s
Status: Downloading, Progress: 1%, Peers: 10, Speed: 72K/s, ETA: 11m30s, Upload Speed 93K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 72K/s, ETA: 11m30s, Upload Speed 93K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 71K/s, ETA: 11m45s, Upload Speed 93K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 71K/s, ETA: 11m45s, Upload Speed 93K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 71K/s, ETA: 11m45s, Upload Speed 93K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 71K/s, ETA: 11m45s, Upload Speed 93K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 71K/s, ETA: 11m45s, Upload Speed 93K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 71K/s, ETA: 11m30s, Upload Speed 93K/s
