Status: Downloading, Progress: 0%, Peers: 7, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 7, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 7, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 7, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 7, Speed: 64K/s, ETA: 13m15s, Upload Speed 51K/s
Status: Downloading, Progress: 0%, Peers: 7, Speed: 64K/s, ETA: 13m15s, Upload Speed 51K/s
Status: Downloading, Progress: 0%, Peers: 7, Speed: 64K/s, ETA: 13m15s, Upload Speed 51K/s
Status: Downloading, Progress: 1%, Peers: 7, Speed: 64K/s, ETA: 13m15s, Upload Speed 51K/s
Status: Downloading, Progress: 1%, Peers: 7, Speed: 64K/s, ETA: 13m15s, Upload Speed 51K/s
Status: Downloading, Progress: 1%, Peers: 10, Speed: 64K/s, ETA: 13m0s, Upload Speed 53K/s
Status: Downloading, Progress: 1%, Peers: 10, Speed: 64K/s, ETA: 13m0s, Upload Speed 53K/s
Status: Downloading, Progress: 1%, Peers: 10, Speed: 64K/s, ETA: 13m0s, Upload Speed 53K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 64K/s, ETA: 13m0s, Upload Speed 53K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 64K/s, ETA: 13m0s, Upload Speed 53K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 66K/s, ETA: 12m30s, Upload Speed 57K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 66K/s, ETA: 12m30s, Upload Speed 57K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 66K/s, ETA: 12m30s, Upload Speed 57K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 66K/s, ETA: 12m30s, Upload Speed 57K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 66K/s, ETA: 12m30s, Upload Speed 57K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 66K/s, ETA: 12m30s, Upload Speed 60K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 66K/s, ETA: 12m15s, Upload Speed 60K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 66K/s, ETA: 12m15s, Upload Speed 60K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 66K/s, ETA: 12m15s, Upload Speed 60K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 66K/s, ETA: 12m15s, Upload Speed 60K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 67K/s, ETA: 12m15s, Upload Speed 59K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 67K/s, ETA: 12m15s, Upload Speed 59K/s
Status: Downloading, Progress: 4%, Peers: 10, Speed: 67K/s, ETA: 12m15s, Upload Speed 59K/s
Status: Downloading, Progress: 4%, Peers: 10, Speed: 67K/s, ETA: 12m15s, Upload Speed 59K/s
Status: Downloading, Progress: 4%, Peers: 10, Speed: 67K/s, ETA: 12m15s, Upload Speed 59K/s
Status: Downloading, Progress: 4%, Peers: 9, Speed: 68K/s, ETA: 11m45s, Upload Speed 57K/s
Status: Downloading, Progress: 4%, Peers: 9, Speed: 68K/s, ETA: 11m45s, Upload Speed 57K/s
Status: Downloading, Progress: 4%, Peers: 9, Speed: 68K/s, ETA: 11m45s, Upload Speed 57K/s
Status: Downloading, Progress: 4%, Peers: 9, Speed: 68K/s, ETA: 11m45s, Upload Speed 57K/s
Status: Downloading, Progress: 5%, Peers: 9, Speed: 68K/s, ETA: 11m45s, Upload Speed 57K/s
Status: Downloading, Progress: 5%, Peers: 9, Speed: 69K/s, ETA: 11m45s, Upload Speed 56K/s
Status: Downloading, Progress: 5%, Peers: 9, Speed: 69K/s, ETA: 11m45s, Upload Speed 56K/s
Status: Downloading, Progress: 5%, Peers: 9, Speed: 69K/s, ETA: 11m45s, Upload Speed 56K/s
Status: Downloading, Progress: 5%, Peers: 9, Speed: 69K/s, ETA: 11m45s, Upload Speed 56K/s
Status: Downloading, Progress: 5%, Peers: 9, Speed: 69K/s, ETA: 11m45s, Upload Speed 56K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 68K/s, ETA: 11m45s, Upload Speed 54K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 68K/s, ETA: 11m45s, Upload Speed 54K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 68K/s, ETA: 11m45s, Upload Speed 54K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 68K/s, ETA: 11m45s, Upload Speed 54K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 68K/s, ETA: 11m30s, Upload Speed 54K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 68K/s, ETA: 11m30s, Upload Speed 55K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 68K/s, ETA: 11m30s, Upload Speed 55K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 68K/s, ETA: 11m30s, Upload Speed 55K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 68K/s, ETA: 11m30s, Upload Speed 55K/s
Status: Downloading, Progress: 7%, Peers: 10, Speed: 68K/s, ETA: 11m30s, Upload Speed 55K/s
Status: Downloading, Progress: 7%, Peers: 10, Speed: 68K/s, ETA: 11m30s, Upload Speed 53K/s
Status: Downloading, Progress: 7%, Peers: 10, Speed: 68K/s, ETA: 11m30s, Upload Speed 53K/s
Status: Downloading, Progress: 7%, Peers: 10, Speed: 68K/s, ETA: 11m30s, Upload Speed 53K/s
