Status: Downloading, Progress: 5%, Peers: 10, Speed: 49K/s, ETA: 16m30s, Upload Speed 13K/s
Status: Downloading, Progress: 5%, Peers: 10, Speed: 49K/s, ETA: 16m30s, Upload Speed 14K/s
Status: Downloading, Progress: 5%, Peers: 10, Speed: 49K/s, ETA: 16m30s, Upload Speed 14K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 49K/s, ETA: 16m30s, Upload Speed 14K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 49K/s, ETA: 16m30s, Upload Speed 14K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 49K/s, ETA: 16m30s, Upload Speed 14K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 14K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 14K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 14K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 14K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 14K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 15K/s
Status: Downloading, Progress: 7%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 15K/s
Status: Downloading, Progress: 7%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 15K/s
Status: Downloading, Progress: 7%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 15K/s
Status: Downloading, Progress: 7%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 15K/s
Status: Downloading, Progress: 7%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 15K/s
Status: Downloading, Progress: 7%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 15K/s
Status: Downloading, Progress: 7%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 15K/s
Status: Downloading, Progress: 7%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 15K/s
Status: Downloading, Progress: 7%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 15K/s
Status: Downloading, Progress: 7%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 16K/s
Status: Downloading, Progress: 7%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 16K/s
Status: Downloading, Progress: 8%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 16K/s
Status: Downloading, Progress: 8%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 16K/s
Status: Downloading, Progress: 8%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 16K/s
Status: Downloading, Progress: 8%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 16K/s
Status: Downloading, Progress: 8%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 16K/s
Status: Downloading, Progress: 8%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 16K/s
Status: Downloading, Progress: 8%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 16K/s
Status: Downloading, Progress: 8%, Peers: 10, Speed: 49K/s, ETA: 16m0s, Upload Speed 16K/s
Status: Downloading, Progress: 8%, Peers: 10, Speed: 49K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 8%, Peers: 10, Speed: 49K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 8%, Peers: 10, Speed: 49K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 9%, Peers: 10, Speed: 49K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 9%, Peers: 10, Speed: 49K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 9%, Peers: 10, Speed: 48K/s, ETA: 16m0s, Upload Speed 18K/s
Status: Downloading, Progress: 9%, Peers: 10, Speed: 48K/s, ETA: 16m0s, Upload Speed 18K/s
Status: Downloading, Progress: 9%, Peers: 10, Speed: 48K/s, ETA: 16m0s, Upload Speed 18K/s
Status: Downloading, Progress: 9%, Peers: 10, Speed: 48K/s, ETA: 16m0s, Upload Speed 18K/s
Status: Downloading, Progress: 9%, Peers: 10, Speed: 48K/s, ETA: 16m0s, Upload Speed 18K/s
Status: Downloading, Progress: 9%, Peers: 10, Speed: 48K/s, ETA: 16m0s, Upload Speed 18K/s
Status: Downloading, Progress: 9%, Peers: 10, Speed: 48K/s, ETA: 16m0s, Upload Speed 18K/s
Status: Downloading, Progress: 9%, Peers: 10, Speed: 48K/s, ETA: 16m0s, Upload Speed 18K/s
Status: Downloading, Progress: 9%, Peers: 10, Speed: 48K/s, ETA: 16m0s, Upload Speed 18K/s
Status: Downloading, Progress: 10%, Peers: 10, Speed: 48K/s, ETA: 16m0s, Upload Speed 18K/s
Status: Downloading, Progress: 10%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 18K/s
Status: Downloading, Progress: 10%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 18K/s
Status: Downloading, Progress: 10%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 18K/s
Status: Downloading, Progress: 10%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 18K/s
Status: Downloading, Progress: 10%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 18K/s
Status: Downloading, Progress: 10%, Peers: 10, Speed: 49K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 10%, Peers: 10, Speed: 49K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 10%, Peers: 10, Speed: 49K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 10%, Peers: 10, Speed: 49K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 11%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 11%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 11%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 11%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 11%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 11%, Peers: 10, Speed: 49K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 11%, Peers: 10, Speed: 49K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 11%, Peers: 10, Speed: 49K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 11%, Peers: 10, Speed: 49K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 11%, Peers: 10, Speed: 49K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 11%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 12%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 12%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 12%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 12%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 12%, Peers: 10, Speed: 47K/s, ETA: 16m0s, Upload Speed 17K/s
Status: Downloading, Progress: 12%, Peers: 10, Speed: 47K/s, ETA: 16m0s, Upload Speed 17K/s
Status: Downloading, Progress: 12%, Peers: 10, Speed: 47K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 12%, Peers: 10, Speed: 47K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 12%, Peers: 10, Speed: 47K/s, ETA: 15m30s, Upload Speed 17K/s
Status: Downloading, Progress: 12%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 18K/s
Status: Downloading, Progress: 12%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 18K/s
Status: Downloading, Progress: 12%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 18K/s
Status: Downloading, Progress: 13%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 18K/s
Status: Downloading, Progress: 13%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 18K/s
Status: Downloading, Progress: 13%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 19K/s
Status: Downloading, Progress: 13%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 19K/s
Status: Downloading, Progress: 13%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 19K/s
Status: Downloading, Progress: 13%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 19K/s
Status: Downloading, Progress: 13%, Peers: 10, Speed: 48K/s, ETA: 15m30s, Upload Speed 19K/s
Status: Downloading, Progress: 13%, Peers: 10, Speed: 46K/s, ETA: 15m30s, Upload Speed 20K/s
Status: Downloading, Progress: 13%, Peers: 10, Speed: 46K/s, ETA: 15m30s, Upload Speed 20K/s
Status: Downloading, Progress: 13%, Peers: 10, Speed: 46K/s, ETA: 15m30s, Upload Speed 20K/s
Status: Downloading, Progress: 13%, Peers: 10, Speed: 46K/s, ETA: 15m30s, Upload Speed 20K/s
Status: Downloading, Progress: 13%, Peers: 10, Speed: 46K/s, ETA: 15m30s, Upload Speed 20K/s
Status: Downloading, Progress: 13%, Peers: 10, Speed: 44K/s, ETA: 16m30s, Upload Speed 21K/s
Status: Downloading, Progress: 13%, Peers: 10, Speed: 44K/s, ETA: 16m30s, Upload Speed 21K/s
Status: Downloading, Progress: 13%, Peers: 10, Speed: 44K/s, ETA: 16m30s, Upload Speed 21K/s
Status: Downloading, Progress: 13%, Peers: 10, Speed: 44K/s, ETA: 16m30s, Upload Speed 21K/s
Status: Downloading, Progress: 13%, Peers: 10, Speed: 44K/s, ETA: 16m30s, Upload Speed 21K/s
Status: Downloading, Progress: 13%, Peers: 10, Speed: 42K/s, ETA: 17m30s, Upload Speed 21K/s
Status: Downloading, Progress: 14%, Peers: 10, Speed: 42K/s, ETA: 17m30s, Upload Speed 21K/s
Status: Downloading, Progress: 14%, Peers: 10, Speed: 42K/s, ETA: 17m30s, Upload Speed 21K/s
Status: Downloading, Progress: 14%, Peers: 10, Speed: 42K/s, ETA: 17m0s, Upload Speed 21K/s
Status: Downloading, Progress: 14%, Peers: 10, Speed: 42K/s, ETA: 17m0s, Upload Speed 21K/s
Status: Downloading, Progress: 14%, Peers: 10, Speed: 41K/s, ETA: 18m0s, Upload Speed 22K/s
Status: Downloading, Progress: 14%, Peers: 10, Speed: 41K/s, ETA: 18m0s, Upload Speed 22K/s
Status: Downloading, Progress: 14%, Peers: 10, Speed: 41K/s, ETA: 18m0s, Upload Speed 22K/s
Status: Downloading, Progress: 14%, Peers: 10, Speed: 41K/s, ETA: 17m30s, Upload Speed 22K/s
Status: Downloading, Progress: 14%, Peers: 10, Speed: 41K/s, ETA: 17m30s, Upload Speed 22K/s
Status: Downloading, Progress: 14%, Peers: 10, Speed: 42K/s, ETA: 17m30s, Upload Speed 21K/s
Status: Downloading, Progress: 14%, Peers: 10, Speed: 42K/s, ETA: 17m0s, Upload Speed 21K/s
Status: Downloading, Progress: 14%, Peers: 10, Speed: 42K/s, ETA: 17m0s, Upload Speed 21K/s
Status: Downloading, Progress: 15%, Peers: 10, Speed: 42K/s, ETA: 17m0s, Upload Speed 21K/s
Status: Downloading, Progress: 15%, Peers: 10, Speed: 42K/s, ETA: 17m0s, Upload Speed 21K/s
Status: Downloading, Progress: 15%, Peers: 10, Speed: 42K/s, ETA: 17m0s, Upload Speed 20K/s
Status: Downloading, Progress: 15%, Peers: 10, Speed: 42K/s, ETA: 17m0s, Upload Speed 20K/s
Status: Downloading, Progress: 15%, Peers: 10, Speed: 42K/s, ETA: 17m0s, Upload Speed 20K/s
Status: Downloading, Progress: 15%, Peers: 10, Speed: 42K/s, ETA: 17m0s, Upload Speed 20K/s
Status: Downloading, Progress: 15%, Peers: 10, Speed: 42K/s, ETA: 17m0s, Upload Speed 20K/s
Status: Downloading, Progress: 15%, Peers: 10, Speed: 43K/s, ETA: 16m30s, Upload Speed 19K/s
Status: Downloading, Progress: 15%, Peers: 10, Speed: 43K/s, ETA: 16m30s, Upload Speed 19K/s
Status: Downloading, Progress: 15%, Peers: 10, Speed: 43K/s, ETA: 16m30s, Upload Speed 19K/s
Status: Downloading, Progress: 15%, Peers: 10, Speed: 43K/s, ETA: 16m30s, Upload Speed 19K/s
Status: Downloading, Progress: 15%, Peers: 10, Speed: 43K/s, ETA: 16m30s, Upload Speed 19K/s
Status: Downloading, Progress: 15%, Peers: 10, Speed: 41K/s, ETA: 17m30s, Upload Speed 18K/s
Status: Downloading, Progress: 16%, Peers: 10, Speed: 41K/s, ETA: 17m30s, Upload Speed 18K/s
Status: Downloading, Progress: 16%, Peers: 10, Speed: 41K/s, ETA: 17m30s, Upload Speed 18K/s
Status: Downloading, Progress: 16%, Peers: 10, Speed: 41K/s, ETA: 17m30s, Upload Speed 18K/s
Status: Downloading, Progress: 16%, Peers: 10, Speed: 41K/s, ETA: 17m0s, Upload Speed 18K/s
Status: Downloading, Progress: 16%, Peers: 10, Speed: 42K/s, ETA: 17m0s, Upload Speed 19K/s
Status: Downloading, Progress: 16%, Peers: 10, Speed: 42K/s, ETA: 17m0s, Upload Speed 19K/s
Status: Downloading, Progress: 16%, Peers: 10, Speed: 42K/s, ETA: 17m0s, Upload Speed 19K/s
Status: Downloading, Progress: 16%, Peers: 10, Speed: 42K/s, ETA: 16m30s, Upload Speed 19K/s
Status: Downloading, Progress: 16%, Peers: 10, Speed: 42K/s, ETA: 16m30s, Upload Speed 19K/s
Status: Downloading, Progress: 16%, Peers: 10, Speed: 42K/s, ETA: 16m30s, Upload Speed 20K/s
Status: Downloading, Progress: 16%, Peers: 10, Speed: 42K/s, ETA: 16m30s, Upload Speed 20K/s
Status: Downloading, Progress: 17%, Peers: 10, Speed: 42K/s, ETA: 16m30s, Upload Speed 20K/s
Status: Downloading, Progress: 17%, Peers: 10, Speed: 42K/s, ETA: 16m30s, Upload Speed 20K/s
Status: Downloading, Progress: 17%, Peers: 10, Speed: 42K/s, ETA: 16m30s, Upload Speed 20K/s
Status: Downloading, Progress: 17%, Peers: 10, Speed: 43K/s, ETA: 16m0s, Upload Speed 20K/s
Status: Downloading, Progress: 17%, Peers: 10, Speed: 43K/s, ETA: 16m0s, Upload Speed 20K/s
Status: Downloading, Progress: 17%, Peers: 10, Speed: 43K/s, ETA: 16m0s, Upload Speed 20K/s
Status: Downloading, Progress: 17%, Peers: 10, Speed: 43K/s, ETA: 16m0s, Upload Speed 20K/s
Status: Downloading, Progress: 17%, Peers: 10, Speed: 43K/s, ETA: 16m0s, Upload Speed 20K/s
Status: Downloading, Progress: 17%, Peers: 10, Speed: 44K/s, ETA: 16m0s, Upload Speed 21K/s
Status: Downloading, Progress: 17%, Peers: 10, Speed: 44K/s, ETA: 16m0s, Upload Speed 21K/s
Status: Downloading, Progress: 18%, Peers: 10, Speed: 44K/s, ETA: 16m0s, Upload Speed 21K/s
Status: Downloading, Progress: 18%, Peers: 10, Speed: 44K/s, ETA: 16m0s, Upload Speed 21K/s
Status: Downloading, Progress: 18%, Peers: 10, Speed: 44K/s, ETA: 16m0s, Upload Speed 21K/s
Status: Downloading, Progress: 18%, Peers: 10, Speed: 44K/s, ETA: 15m30s, Upload Speed 22K/s
Status: Downloading, Progress: 18%, Peers: 10, Speed: 44K/s, ETA: 15m30s, Upload Speed 22K/s
Status: Downloading, Progress: 18%, Peers: 10, Speed: 44K/s, ETA: 15m30s, Upload Speed 22K/s
Status: Downloading, Progress: 18%, Peers: 10, Speed: 44K/s, ETA: 15m30s, Upload Speed 22K/s
Status: Downloading, Progress: 18%, Peers: 10, Speed: 44K/s, ETA: 15m30s, Upload Speed 22K/s
Status: Downloading, Progress: 18%, Peers: 10, Speed: 45K/s, ETA: 15m30s, Upload Speed 22K/s
Status: Downloading, Progress: 18%, Peers: 10, Speed: 45K/s, ETA: 15m30s, Upload Speed 22K/s
Status: Downloading, Progress: 19%, Peers: 10, Speed: 45K/s, ETA: 15m30s, Upload Speed 22K/s
