Status: Downloading, Progress: 0%, Peers: 6, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 6, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 6, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 6, Speed: 54K/s, ETA: 15m30s, Upload Speed 19K/s
Status: Downloading, Progress: 0%, Peers: 6, Speed: 54K/s, ETA: 15m30s, Upload Speed 19K/s
Status: Downloading, Progress: 0%, Peers: 6, Speed: 54K/s, ETA: 15m30s, Upload Speed 19K/s
Status: Downloading, Progress: 0%, Peers: 6, Speed: 54K/s, ETA: 15m30s, Upload Speed 19K/s
Status: Downloading, Progress: 1%, Peers: 6, Speed: 54K/s, ETA: 15m30s, Upload Speed 19K/s
Status: Downloading, Progress: 1%, Peers: 6, Speed: 56K/s, ETA: 15m0s, Upload Speed 24K/s
Status: Downloading, Progress: 1%, Peers: 6, Speed: 56K/s, ETA: 15m0s, Upload Speed 24K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 56K/s, ETA: 15m0s, Upload Speed 24K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 56K/s, ETA: 15m0s, Upload Speed 24K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 56K/s, ETA: 15m0s, Upload Speed 24K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 57K/s, ETA: 14m30s, Upload Speed 28K/s
Status: Downloading, Progress: 2%, Peers: 9, Speed: 57K/s, ETA: 14m30s, Upload Speed 28K/s
Status: Downloading, Progress: 2%, Peers: 9, Speed: 57K/s, ETA: 14m30s, Upload Speed 28K/s
Status: Downloading, Progress: 2%, Peers: 9, Speed: 57K/s, ETA: 14m15s, Upload Speed 28K/s
Status: Downloading, Progress: 2%, Peers: 9, Speed: 57K/s, ETA: 14m15s, Upload Speed 28K/s
Status: Downloading, Progress: 2%, Peers: 9, Speed: 60K/s, ETA: 13m45s, Upload Speed 28K/s
Status: Downloading, Progress: 3%, Peers: 9, Speed: 60K/s, ETA: 13m45s, Upload Speed 28K/s
Status: Downloading, Progress: 3%, Peers: 9, Speed: 60K/s, ETA: 13m45s, Upload Speed 28K/s
Status: Downloading, Progress: 3%, Peers: 9, Speed: 60K/s, ETA: 13m45s, Upload Speed 28K/s
Status: Downloading, Progress: 3%, Peers: 9, Speed: 60K/s, ETA: 13m45s, Upload Speed 28K/s
Status: Downloading, Progress: 3%, Peers: 9, Speed: 60K/s, ETA: 13m30s, Upload Speed 29K/s
Status: Downloading, Progress: 3%, Peers: 9, Speed: 60K/s, ETA: 13m30s, Upload Speed 29K/s
Status: Downloading, Progress: 3%, Peers: 9, Speed: 60K/s, ETA: 13m30s, Upload Speed 29K/s
Status: Downloading, Progress: 4%, Peers: 9, Speed: 60K/s, ETA: 13m30s, Upload Speed 29K/s
Status: Downloading, Progress: 4%, Peers: 9, Speed: 60K/s, ETA: 13m30s, Upload Speed 29K/s
Status: Downloading, Progress: 4%, Peers: 9, Speed: 62K/s, ETA: 13m0s, Upload Speed 36K/s
Status: Downloading, Progress: 4%, Peers: 9, Speed: 62K/s, ETA: 13m0s, Upload Speed 36K/s
Status: Downloading, Progress: 4%, Peers: 9, Speed: 62K/s, ETA: 13m0s, Upload Speed 36K/s
Status: Downloading, Progress: 4%, Peers: 9, Speed: 62K/s, ETA: 13m0s, Upload Speed 36K/s
Status: Downloading, Progress: 4%, Peers: 9, Speed: 62K/s, ETA: 13m0s, Upload Speed 36K/s
Status: Downloading, Progress: 5%, Peers: 9, Speed: 63K/s, ETA: 12m45s, Upload Speed 44K/s
Status: Downloading, Progress: 5%, Peers: 9, Speed: 63K/s, ETA: 12m45s, Upload Speed 44K/s
Status: Downloading, Progress: 5%, Peers: 9, Speed: 63K/s, ETA: 12m45s, Upload Speed 44K/s
Status: Downloading, Progress: 5%, Peers: 9, Speed: 63K/s, ETA: 12m45s, Upload Speed 44K/s
Status: Downloading, Progress: 5%, Peers: 9, Speed: 63K/s, ETA: 12m45s, Upload Speed 44K/s
Status: Downloading, Progress: 5%, Peers: 9, Speed: 63K/s, ETA: 12m45s, Upload Speed 50K/s
Status: Downloading, Progress: 5%, Peers: 9, Speed: 63K/s, ETA: 12m30s, Upload Speed 50K/s
Status: Downloading, Progress: 6%, Peers: 9, Speed: 63K/s, ETA: 12m30s, Upload Speed 50K/s
Status: Downloading, Progress: 6%, Peers: 9, Speed: 63K/s, ETA: 12m30s, Upload Speed 50K/s
Status: Downloading, Progress: 6%, Peers: 9, Speed: 63K/s, ETA: 12m30s, Upload Speed 50K/s
Status: Downloading, Progress: 6%, Peers: 9, Speed: 64K/s, ETA: 12m30s, Upload Speed 59K/s
Status: Downloading, Progress: 6%, Peers: 9, Speed: 64K/s, ETA: 12m15s, Upload Speed 59K/s
Status: Downloading, Progress: 6%, Peers: 9, Speed: 64K/s, ETA: 12m15s, Upload Speed 59K/s
Status: Downloading, Progress: 6%, Peers: 9, Speed: 64K/s, ETA: 12m15s, Upload Speed 59K/s
Status: Downloading, Progress: 6%, Peers: 9, Speed: 64K/s, ETA: 12m15s, Upload Speed 59K/s
Status: Downloading, Progress: 7%, Peers: 9, Speed: 63K/s, ETA: 12m30s, Upload Speed 67K/s
Status: Downloading, Progress: 7%, Peers: 9, Speed: 63K/s, ETA: 12m30s, Upload Speed 67K/s
Status: Downloading, Progress: 7%, Peers: 9, Speed: 63K/s, ETA: 12m15s, Upload Speed 67K/s
Status: Downloading, Progress: 7%, Peers: 9, Speed: 63K/s, ETA: 12m15s, Upload Speed 67K/s
