Status: Downloading, Progress: 0%, Peers: 5, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 5, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 5, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 5, Speed: 57K/s, ETA: 14m45s, Upload Speed 12K/s
Status: Downloading, Progress: 0%, Peers: 5, Speed: 57K/s, ETA: 14m45s, Upload Speed 12K/s
Status: Downloading, Progress: 0%, Peers: 5, Speed: 57K/s, ETA: 14m45s, Upload Speed 12K/s
Status: Downloading, Progress: 0%, Peers: 5, Speed: 57K/s, ETA: 14m45s, Upload Speed 12K/s
Status: Downloading, Progress: 1%, Peers: 5, Speed: 57K/s, ETA: 14m45s, Upload Speed 12K/s
Status: Downloading, Progress: 1%, Peers: 5, Speed: 58K/s, ETA: 14m15s, Upload Speed 13K/s
Status: Downloading, Progress: 1%, Peers: 8, Speed: 58K/s, ETA: 14m15s, Upload Speed 13K/s
Status: Downloading, Progress: 1%, Peers: 10, Speed: 58K/s, ETA: 14m15s, Upload Speed 13K/s
Status: Downloading, Progress: 1%, Peers: 10, Speed: 58K/s, ETA: 14m15s, Upload Speed 13K/s
Status: Downloading, Progress: 1%, Peers: 10, Speed: 58K/s, ETA: 14m15s, Upload Speed 13K/s
Status: Downloading, Progress: 1%, Peers: 10, Speed: 60K/s, ETA: 13m45s, Upload Speed 15K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 60K/s, ETA: 13m45s, Upload Speed 15K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 60K/s, ETA: 13m45s, Upload Speed 15K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 60K/s, ETA: 13m45s, Upload Speed 15K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 60K/s, ETA: 13m45s, Upload Speed 15K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 62K/s, ETA: 13m15s, Upload Speed 16K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 62K/s, ETA: 13m15s, Upload Speed 16K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 62K/s, ETA: 13m15s, Upload Speed 16K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 62K/s, ETA: 13m15s, Upload Speed 16K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 62K/s, ETA: 13m15s, Upload Speed 16K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 62K/s, ETA: 13m15s, Upload Speed 19K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 62K/s, ETA: 13m15s, Upload Speed 19K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 62K/s, ETA: 13m0s, Upload Speed 19K/s
Status: Downloading, Progress: 4%, Peers: 10, Speed: 62K/s, ETA: 13m0s, Upload Speed 19K/s
Status: Downloading, Progress: 4%, Peers: 10, Speed: 62K/s, ETA: 13m0s, Upload Speed 19K/s
Status: Downloading, Progress: 4%, Peers: 10, Speed: 64K/s, ETA: 12m45s, Upload Speed 20K/s
Status: Downloading, Progress: 4%, Peers: 10, Speed: 64K/s, ETA: 12m45s, Upload Speed 20K/s
Status: Downloading, Progress: 4%, Peers: 10, Speed: 64K/s, ETA: 12m30s, Upload Speed 20K/s
Status: Downloading, Progress: 4%, Peers: 10, Speed: 64K/s, ETA: 12m30s, Upload Speed 20K/s
Status: Downloading, Progress: 4%, Peers: 10, Speed: 64K/s, ETA: 12m30s, Upload Speed 20K/s
Status: Downloading, Progress: 5%, Peers: 10, Speed: 64K/s, ETA: 12m30s, Upload Speed 24K/s
Status: Downloading, Progress: 5%, Peers: 10, Speed: 64K/s, ETA: 12m30s, Upload Speed 24K/s
Status: Downloading, Progress: 5%, Peers: 10, Speed: 64K/s, ETA: 12m30s, Upload Speed 24K/s
Status: Downloading, Progress: 5%, Peers: 10, Speed: 64K/s, ETA: 12m30s, Upload Speed 24K/s
Status: Downloading, Progress: 5%, Peers: 10, Speed: 64K/s, ETA: 12m30s, Upload Speed 24K/s
Status: Downloading, Progress: 5%, Peers: 10, Speed: 65K/s, ETA: 12m15s, Upload Speed 26K/s
Status: Downloading, Progress: 5%, Peers: 10, Speed: 65K/s, ETA: 12m15s, Upload Speed 26K/s
Status: Downloading, Progress: 6%, Peers: 9, Speed: 65K/s, ETA: 12m15s, Upload Speed 26K/s
Status: Downloading, Progress: 6%, Peers: 9, Speed: 65K/s, ETA: 12m15s, Upload Speed 26K/s
Status: Downloading, Progress: 6%, Peers: 9, Speed: 65K/s, ETA: 12m15s, Upload Speed 26K/s
Status: Downloading, Progress: 6%, Peers: 9, Speed: 66K/s, ETA: 12m0s, Upload Speed 27K/s
Status: Downloading, Progress: 6%, Peers: 9, Speed: 66K/s, ETA: 12m0s, Upload Speed 27K/s
Status: Downloading, Progress: 6%, Peers: 9, Speed: 66K/s, ETA: 12m0s, Upload Speed 27K/s
Status: Downloading, Progress: 6%, Peers: 9, Speed: 66K/s, ETA: 12m0s, Upload Speed 27K/s
Status: Downloading, Progress: 6%, Peers: 9, Speed: 66K/s, ETA: 12m0s, Upload Speed 27K/s
Status: Downloading, Progress: 7%, Peers: 9, Speed: 65K/s, ETA: 12m15s, Upload Speed 27K/s
Status: Downloading, Progress: 7%, Peers: 9, Speed: 65K/s, ETA: 12m0s, Upload Speed 27K/s
Status: Downloading, Progress: 7%, Peers: 9, Speed: 65K/s, ETA: 12m0s, Upload Speed 27K/s
Status: Downloading, Progress: 7%, Peers: 9, Speed: 65K/s, ETA: 12m0s, Upload Speed 27K/s
Status: Downloading, Progress: 7%, Peers: 9, Speed: 65K/s, ETA: 12m0s, Upload Speed 27K/s
