Status: Downloading, Progress: 0%, Peers: 6, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 6, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 6, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 6, Speed: 54K/s, ETA: 15m30s, Upload Speed 32K/s
Status: Downloading, Progress: 0%, Peers: 6, Speed: 54K/s, ETA: 15m30s, Upload Speed 32K/s
Status: Downloading, Progress: 0%, Peers: 6, Speed: 54K/s, ETA: 15m30s, Upload Speed 32K/s
Status: Downloading, Progress: 0%, Peers: 6, Speed: 54K/s, ETA: 15m30s, Upload Speed 32K/s
Status: Downloading, Progress: 1%, Peers: 6, Speed: 54K/s, ETA: 15m30s, Upload Speed 32K/s
Status: Downloading, Progress: 1%, Peers: 6, Speed: 54K/s, ETA: 15m30s, Upload Speed 30K/s
Status: Downloading, Progress: 1%, Peers: 6, Speed: 54K/s, ETA: 15m30s, Upload Speed 30K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 54K/s, ETA: 15m30s, Upload Speed 30K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 54K/s, ETA: 15m30s, Upload Speed 30K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 54K/s, ETA: 15m30s, Upload Speed 30K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 55K/s, ETA: 15m0s, Upload Speed 28K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 55K/s, ETA: 15m0s, Upload Speed 28K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 55K/s, ETA: 15m0s, Upload Speed 28K/s
Status: Downloading, Progress: 2%, Peers: 9, Speed: 55K/s, ETA: 15m0s, Upload Speed 28K/s
Status: Downloading, Progress: 2%, Peers: 9, Speed: 55K/s, ETA: 15m0s, Upload Speed 28K/s
Status: Downloading, Progress: 2%, Peers: 9, Speed: 55K/s, ETA: 15m0s, Upload Speed 26K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 55K/s, ETA: 15m0s, Upload Speed 26K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 55K/s, ETA: 15m0s, Upload Speed 26K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 55K/s, ETA: 15m0s, Upload Speed 26K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 55K/s, ETA: 14m45s, Upload Speed 26K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 55K/s, ETA: 14m45s, Upload Speed 26K/s
Status: Downloading, Progress: 2%, Peers: 10, Speed: 55K/s, ETA: 14m45s, Upload Speed 26K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 55K/s, ETA: 14m45s, Upload Speed 26K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 55K/s, ETA: 14m45s, Upload Speed 26K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 55K/s, ETA: 14m45s, Upload Speed 26K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 56K/s, ETA: 14m45s, Upload Speed 26K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 56K/s, ETA: 14m30s, Upload Speed 26K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 56K/s, ETA: 14m30s, Upload Speed 26K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 56K/s, ETA: 14m30s, Upload Speed 26K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 56K/s, ETA: 14m30s, Upload Speed 26K/s
Status: Downloading, Progress: 4%, Peers: 10, Speed: 56K/s, ETA: 14m30s, Upload Speed 27K/s
Status: Downloading, Progress: 4%, Peers: 10, Speed: 56K/s, ETA: 14m30s, Upload Speed 27K/s
Status: Downloading, Progress: 4%, Peers: 10, Speed: 56K/s, ETA: 14m30s, Upload Speed 27K/s
Status: Downloading, Progress: 4%, Peers: 10, Speed: 56K/s, ETA: 14m30s, Upload Speed 27K/s
Status: Downloading, Progress: 4%, Peers: 10, Speed: 56K/s, ETA: 14m15s, Upload Speed 27K/s
Status: Downloading, Progress: 4%, Peers: 10, Speed: 57K/s, ETA: 14m15s, Upload Speed 27K/s
Status: Downloading, Progress: 4%, Peers: 10, Speed: 57K/s, ETA: 14m15s, Upload Speed 27K/s
Status: Downloading, Progress: 4%, Peers: 10, Speed: 57K/s, ETA: 14m15s, Upload Speed 27K/s
Status: Downloading, Progress: 4%, Peers: 10, Speed: 57K/s, ETA: 14m15s, Upload Speed 27K/s
Status: Downloading, Progress: 4%, Peers: 9, Speed: 57K/s, ETA: 14m15s, Upload Speed 27K/s
Status: Downloading, Progress: 5%, Peers: 9, Speed: 57K/s, ETA: 14m15s, Upload Speed 27K/s
Status: Downloading, Progress: 5%, Peers: 9, Speed: 57K/s, ETA: 14m15s, Upload Speed 27K/s
Status: Downloading, Progress: 5%, Peers: 9, Speed: 57K/s, ETA: 14m15s, Upload Speed 27K/s
Status: Downloading, Progress: 5%, Peers: 9, Speed: 57K/s, ETA: 14m15s, Upload Speed 27K/s
Status: Downloading, Progress: 5%, Peers: 9, Speed: 57K/s, ETA: 14m0s, Upload Speed 27K/s
Status: Downloading, Progress: 5%, Peers: 9, Speed: 57K/s, ETA: 14m0s, Upload Speed 28K/s
Status: Downloading, Progress: 5%, Peers: 10, Speed: 57K/s, ETA: 14m0s, Upload Speed 28K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 57K/s, ETA: 14m0s, Upload Speed 28K/s
Status: Downloading, Progress: 6%, Peers: 10, Speed: 57K/s, ETA: 14m0s, Upload Speed 28K/s
