Status: Downloading, Progress: 0%, Peers: 2, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 2, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 2, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 2, Speed: 54K/s, ETA: 15m30s, Upload Speed 6K/s
Status: Downloading, Progress: 0%, Peers: 2, Speed: 54K/s, ETA: 15m30s, Upload Speed 6K/s
Status: Downloading, Progress: 0%, Peers: 2, Speed: 54K/s, ETA: 15m30s, Upload Speed 6K/s
Status: Downloading, Progress: 0%, Peers: 2, Speed: 54K/s, ETA: 15m30s, Upload Speed 6K/s
Status: Downloading, Progress: 0%, Peers: 2, Speed: 54K/s, ETA: 15m30s, Upload Speed 6K/s
Status: Downloading, Progress: 1%, Peers: 2, Speed: 54K/s, ETA: 15m30s, Upload Speed 7K/s
Status: Downloading, Progress: 1%, Peers: 5, Speed: 54K/s, ETA: 15m30s, Upload Speed 7K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 54K/s, ETA: 15m30s, Upload Speed 7K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 54K/s, ETA: 15m30s, Upload Speed 7K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 54K/s, ETA: 15m30s, Upload Speed 7K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 54K/s, ETA: 15m30s, Upload Speed 9K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 54K/s, ETA: 15m30s, Upload Speed 9K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 54K/s, ETA: 15m30s, Upload Speed 9K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 54K/s, ETA: 15m30s, Upload Speed 9K/s
Status: Downloading, Progress: 2%, Peers: 9, Speed: 54K/s, ETA: 15m30s, Upload Speed 9K/s
Status: Downloading, Progress: 2%, Peers: 9, Speed: 53K/s, ETA: 15m30s, Upload Speed 12K/s
Status: Downloading, Progress: 2%, Peers: 9, Speed: 53K/s, ETA: 15m30s, Upload Speed 12K/s
Status: Downloading, Progress: 2%, Peers: 9, Speed: 53K/s, ETA: 15m30s, Upload Speed 12K/s
Status: Downloading, Progress: 2%, Peers: 9, Speed: 53K/s, ETA: 15m30s, Upload Speed 12K/s
Status: Downloading, Progress: 2%, Peers: 9, Speed: 53K/s, ETA: 15m30s, Upload Speed 12K/s
Status: Downloading, Progress: 2%, Peers: 9, Speed: 54K/s, ETA: 15m0s, Upload Speed 14K/s
Status: Downloading, Progress: 2%, Peers: 9, Speed: 54K/s, ETA: 15m0s, Upload Speed 14K/s
Status: Downloading, Progress: 2%, Peers: 9, Speed: 54K/s, ETA: 15m0s, Upload Speed 14K/s
Status: Downloading, Progress: 3%, Peers: 9, Speed: 54K/s, ETA: 15m0s, Upload Speed 14K/s
Status: Downloading, Progress: 3%, Peers: 9, Speed: 54K/s, ETA: 15m0s, Upload Speed 14K/s
Status: Downloading, Progress: 3%, Peers: 9, Speed: 55K/s, ETA: 15m0s, Upload Speed 16K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 55K/s, ETA: 14m45s, Upload Speed 16K/s
Status: Downloading, Progress: 3%, Peers: 10, Speed: 55K/s, ETA: 14m45s, Upload Speed 16K/s
