Status: Downloading, Progress: 0%, Peers: 2, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 2, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 2, Speed: 0K/s, ETA: ?, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 2, Speed: 28K/s, ETA: 29m30s, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 2, Speed: 28K/s, ETA: 29m30s, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 2, Speed: 28K/s, ETA: 29m30s, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 2, Speed: 28K/s, ETA: 29m30s, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 2, Speed: 28K/s, ETA: 29m30s, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 2, Speed: 28K/s, ETA: 30m0s, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 3, Speed: 28K/s, ETA: 30m0s, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 9, Speed: 28K/s, ETA: 30m0s, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 9, Speed: 28K/s, ETA: 30m0s, Upload Speed 0K/s
Status: Downloading, Progress: 0%, Peers: 9, Speed: 28K/s, ETA: 30m0s, Upload Speed 0K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 30K/s, ETA: 28m0s, Upload Speed 1K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 30K/s, ETA: 28m0s, Upload Speed 1K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 30K/s, ETA: 28m0s, Upload Speed 1K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 30K/s, ETA: 28m0s, Upload Speed 1K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 30K/s, ETA: 28m0s, Upload Speed 1K/s
Status: Downloading, Progress: 1%, Peers: 9, Speed: 30K/s, ETA: 28m0s, Upload Speed 3K/s
Status: Downloading, Progress: 1%, Peers: 10, Speed: 30K/s, ETA: 28m0s, Upload Speed 3K/s
Status: Downloading, Progress: 1%, Peers: 10, Speed: 30K/s, ETA: 28m0s, Upload Speed 3K/s
Status: Downloading, Progress: 1%, Peers: 10, Speed: 30K/s, ETA: 28m0s, Upload Speed 3K/s
Status: Downloading, Progress: 1%, Peers: 10, Speed: 30K/s, ETA: 28m0s, Upload Speed 3K/s
Status: Downloading, Progress: 1%, Peers: 10, Speed: 29K/s, ETA: 28m30s, Upload Speed 5K/s
Status: Downloading, Progress: 1%, Peers: 10, Speed: 29K/s, ETA: 28m30s, Upload Speed 5K/s
Status: Downloading, Progress: 1%, Peers: 10, Speed: 29K/s, ETA: 28m30s, Upload Speed 5K/s
Status: Downloading, Progress: 1%, Peers: 10, Speed: 29K/s, ETA: 28m30s, Upload Speed 5K/s
Status: Downloading, Progress: 1%, Peers: 10, Speed: 29K/s, ETA: 28m30s, Upload Speed 5K/s
Status: Downloading, Progress: 1%, Peers: 10, Speed: 28K/s, ETA: 29m0s, Upload Speed 6K/s
Status: Downloading, Progress: 1%, Peers: 10, Speed: 28K/s, ETA: 29m0s, Upload Speed 6K/s
Status: Downloading, Progress: 1%, Peers: 10, Speed: 28K/s, ETA: 29m0s, Upload Speed 6K/s
